Startup Name,Industry,Revenue (USD),Revenue Growth (%),Monthly Active Users,User Growth Rate (%),CAC (USD),LTV (USD),Burn Rate (USD/month),Cash Runway (months),TAM (USD),Team Size,Funding Stage,Valuation (USD)
Startup001,SaaS,4128731,149,87681,17,241,3074,332428,6,81946269312,39,Seed,24466368
Startup002,Greentech,2428312,115,143691,18,490,2464,96519,24,71223892797,37,Pre-Seed,96641650
Startup003,Greentech,1478230,32,156520,7,165,849,996255,24,25765873614,97,Series A,38460951
Startup004,Healthtech,7815497,190,434808,39,380,2641,340129,15,8777057441,37,Series A,56139309
Startup005,Fintech,1102665,88,260269,10,179,7657,731477,18,39626814884,83,Pre-Seed,14977950
Startup006,Edtech,8237836,166,241154,21,325,7499,174479,15,29745038923,67,Pre-Seed,20358857
Startup007,Healthtech,8759429,104,422045,48,168,7981,658169,6,93431242668,36,Series A,32539828
Startup008,SaaS,829154,101,397531,11,222,1091,360374,18,91916910218,60,Seed,5583189
Startup009,E-commerce,1407511,160,279475,26,132,8789,568759,18,92147511979,85,Series A,69726989
Startup010,Edtech,9537494,90,6260,47,203,4939,469938,8,74687986994,81,Seed,41355616
Startup011,Greentech,8532430,108,224358,44,348,6776,971827,20,77622122817,94,Series A,38738433
Startup012,Fintech,6250700,97,6529,36,287,7594,417390,9,29724899725,11,Series A,27176786
Startup013,Fintech,3724569,135,321492,34,268,4323,397650,24,5077868049,32,Pre-Seed,24088373
Startup014,Healthtech,6631998,123,402840,13,340,8340,679098,14,25552813111,30,Seed,53897855
Startup015,Healthtech,947022,129,148129,15,421,6589,821301,22,70766649817,9,Series A,5442240
Startup016,Edtech,7214435,156,403033,49,471,2757,565532,13,91162244816,19,Pre-Seed,98896036
Startup017,Fintech,3691598,160,483134,15,308,7155,228629,19,84126092746,30,Seed,30678892
Startup018,Edtech,5845842,112,10054,19,118,9047,878319,7,1020223333,46,Series A,3047633
Startup019,Greentech,5582016,126,463673,42,458,1710,39129,10,2940382686,89,Series A,67543944
Startup020,Greentech,4558149,92,250342,47,357,7558,682745,17,43761195700,25,Pre-Seed,79592665
Startup021,Edtech,4350739,156,164545,5,107,5042,333900,6,8649006771,56,Pre-Seed,17887422
Startup022,Greentech,8162641,84,156825,37,154,1071,460881,14,33528834385,18,Series A,95464476
Startup023,Greentech,6060706,145,77206,17,177,3565,231217,6,26262336062,19,Seed,47195098
Startup024,Edtech,5837466,172,206354,18,424,5731,307807,10,51436162104,27,Pre-Seed,85656390
Startup025,Fintech,3274534,13,436454,44,108,6909,879260,13,71674977908,22,Series A,89124904
Startup026,E-commerce,286854,56,404052,26,411,9260,641315,17,52297689594,86,Seed,31342960
Startup027,Edtech,3714705,20,401478,13,214,5710,148187,7,20804327979,87,Seed,41532649
Startup028,E-commerce,4822103,145,217880,27,365,6623,978493,6,73642915164,58,Seed,72482909
Startup029,Fintech,834961,150,59579,49,422,3889,653064,10,48943527601,32,Series A,45369414
Startup030,Fintech,4809522,108,386413,47,394,516,43835,16,89866541779,63,Series A,72924418
Startup031,Healthtech,1144859,86,209295,48,232,5904,425622,6,98532372764,7,Pre-Seed,74484512
Startup032,Edtech,2933870,10,182509,34,185,3503,777643,24,11559157945,16,Series A,19575680
Startup033,Healthtech,823286,165,71735,8,182,7541,235077,21,56739997934,93,Pre-Seed,3715392
Startup034,Healthtech,1955033,152,285269,5,103,3811,576847,14,7820949842,77,Seed,54500102
Startup035,SaaS,2338925,15,45054,29,200,3633,641880,7,17028583262,20,Seed,23934946
Startup036,Fintech,3237038,177,407085,13,200,7589,799710,6,43122362594,95,Pre-Seed,24501885
Startup037,Healthtech,7441609,41,315628,44,214,2108,98635,8,70466217279,30,Pre-Seed,63975683
Startup038,E-commerce,4523356,113,288313,5,167,5567,398606,10,31005557855,70,Series A,55626059
Startup039,Healthtech,1061995,153,424212,25,174,7331,881475,8,95076554831,7,Pre-Seed,63045828
Startup040,Healthtech,5177820,81,418366,28,123,916,670082,24,13646076930,25,Pre-Seed,58463586
Startup041,Edtech,8930043,84,375808,23,419,2400,564323,17,13097292901,56,Seed,5582174
